Point,X,Y,Wavelength,Velocity
1,1.75,5,8.25,6243.
1,1.75,5,8.75,6336.
1,1.75,5,9.25,6449.
1,1.75,5,9.75,6547.
1,1.75,5,10.25,6614.
1,1.75,5,10.75,6653.
1,1.75,5,11.25,6651.
1,1.75,5,11.25,6651.
1,1.75,5.5,2.75,6863.
1,1.75,5.5,3.25,6812.
1,1.75,5.5,3.75,6833.
1,1.75,5.5,4.25,6707.
1,1.75,5.5,4.75,6402.
1,1.75,5.5,5.25,6281.
1,1.75,5.5,5.75,6145.
1,1.75,5.5,6.25,6178.
1,1.75,5.5,6.75,6183.
1,1.75,5.5,7.25,6193.
1,1.75,5.5,7.75,6194.
1,1.75,5.5,8.25,6213.
1,1.75,5.5,8.75,6295.
1,1.75,5.5,9.25,6420.
1,1.75,5.5,9.75,6538.
1,1.75,5.5,10.25,6666.
1,1.75,5.5,10.75,6784.
1,1.75,5.5,11.25,6841.
1,1.75,6,2.25,6817.
1,1.75,6,2.75,6747.
1,1.75,6,3.25,6572.
1,1.75,6,3.75,6430.
1,1.75,6,4.25,6596.
1,1.75,6,4.75,6475.
1,1.75,6,5.25,6369.
1,1.75,6,5.75,6253.
1,1.75,6,6.25,6289.
1,1.75,6,6.75,6300.
1,1.75,6,7.25,6316.
1,1.75,6,7.75,6339.
1,1.75,6,8.25,6326.
1,1.75,6,8.75,6350.
1,1.75,6,9.25,6441.
1,1.75,6,9.75,6574.
1,1.75,6,10.25,6710.
1,1.75,6,10.75,6824.
1,1.75,6,10.75,6824.
1,1.75,6.5,2.25,6443.
1,1.75,6.5,2.75,6349.
1,1.75,6.5,4.25,6918.
1,1.75,6.5,4.75,6629.
1,1.75,6.5,5.25,6453.
1,1.75,6.5,5.75,6269.
1,1.75,6.5,6.25,6248.
1,1.75,6.5,6.75,6277.
1,1.75,6.5,7.25,6326.
1,1.75,6.5,7.75,6356.
1,1.75,6.5,8.25,6345.
1,1.75,6.5,8.75,6346.
1,1.75,6.5,9.25,6421.
1,1.75,6.5,9.75,6533.
1,1.75,6.5,10.25,6665.
1,1.75,6.5,10.75,6782.
1,1.75,7,2.25,6824.
1,1.75,7,2.75,6918.
1,1.75,7,3.25,6466.
1,1.75,7,3.75,6044.
1,1.75,7,4.25,6052.
1,1.75,7,4.75,5981.
1,1.75,7,5.25,5932.
1,1.75,7,5.75,5974.
1,1.75,7,6.25,6053.
1,1.75,7,6.75,6192.
1,1.75,7,7.25,6273.
1,1.75,7,7.75,6288.
1,1.75,7,8.25,6296.
1,1.75,7,8.75,6303.
1,1.75,7,9.25,6367.
1,1.75,7,9.75,6491.
1,1.75,7,10.25,6638.
1,1.75,7,10.75,6739.
1,1.75,7.5,2.25,6293.
1,1.75,7.5,2.75,6175.
1,1.75,7.5,3.25,6302.
1,1.75,7.5,3.75,6207.
1,1.75,7.5,4.25,6018.
1,1.75,7.5,4.75,5887.
1,1.75,7.5,5.25,5793.
1,1.75,7.5,5.75,5803.
1,1.75,7.5,6.25,5829.
1,1.75,7.5,6.75,5878.
1,1.75,7.5,7.25,5912.
1,1.75,7.5,7.75,5930.
1,1.75,7.5,8.25,5960.
1,1.75,7.5,8.75,6034.
1,1.75,7.5,9.25,6134.
1,1.75,7.5,9.75,6266.
1,1.75,7.5,10.25,6385.
1,1.75,7.5,10.75,6493.
1,1.75,7.5,11.25,6557.
1,1.75,8,2.75,6446.
1,1.75,8,3.25,6200.
1,1.75,8,3.75,6352.
1,1.75,8,4.25,6197.
1,1.75,8,4.75,6058.
1,1.75,8,5.25,6010.
1,1.75,8,5.75,5948.
1,1.75,8,6.25,5960.
1,1.75,8,6.75,5954.
1,1.75,8,7.25,5923.
1,1.75,8,7.75,5898.
1,1.75,8,8.25,5930.
1,1.75,8,8.75,6010.
1,1.75,8,9.25,6124.
1,1.75,8,9.75,6276.
1,1.75,8,10.25,6418.
1,1.75,8,10.75,6531.
1,1.75,8,10.75,6531.
1,1.75,8.5,2.25,6737.
1,1.75,8.5,2.75,6747.
1,1.75,8.5,3.25,6943.
1,1.75,8.5,3.75,6395.
1,1.75,8.5,4.25,6188.
1,1.75,8.5,4.75,6149.
1,1.75,8.5,5.25,6370.
1,1.75,8.5,5.75,6148.
1,1.75,8.5,6.25,6004.
1,1.75,8.5,6.75,6057.
1,1.75,8.5,7.25,6251.
1,1.75,8.5,7.75,6318.
1,1.75,8.5,8.25,6293.
1,1.75,8.5,8.75,6387.
1,1.75,8.5,9.25,6550.
1,1.75,8.5,9.25,6550.
1,1.75,9,2.25,6713.
1,1.75,9,2.75,6736.
1,1.75,9,3.25,6794.
1,1.75,9,3.75,6688.
1,1.75,9,4.25,6456.
1,1.75,9,4.75,6251.
1,1.75,9,5.25,6237.
1,1.75,9,5.75,6135.
1,1.75,9,6.25,6080.
1,1.75,9,6.75,6040.
1,1.75,9,7.25,6048.
1,1.75,9,7.75,6079.
1,1.75,9,8.25,6106.
1,1.75,9,8.75,6147.
1,1.75,9,9.25,6224.
1,1.75,9,9.75,6338.
1,1.75,9,10.25,6464.
1,1.75,9,10.75,6549.
1,1.75,9.5,2.75,6509.
1,1.75,9.5,3.25,6213.
1,1.75,9.5,3.75,6185.
1,1.75,9.5,4.25,6243.
1,1.75,9.5,4.75,6106.
1,1.75,9.5,5.25,6118.
1,1.75,9.5,5.75,6053.
1,1.75,9.5,6.25,5935.
1,1.75,9.5,6.75,5892.
1,1.75,9.5,7.25,5933.
1,1.75,9.5,7.75,5973.
1,1.75,9.5,8.25,5992.
1,1.75,9.5,8.75,6012.
1,1.75,9.5,9.25,6065.
1,1.75,9.5,9.75,6154.
1,1.75,9.5,10.25,6277.
1,1.75,9.5,10.75,6368.
1,1.75,10.5,2.25,6230.
1,1.75,10.5,2.75,6187.
1,1.75,10.5,3.25,6233.
1,1.75,10.5,3.75,6296.
1,1.75,10.5,4.25,6232.
1,1.75,10.5,4.75,6182.
1,1.75,10.5,5.25,5955.
1,1.75,10.5,5.75,5825.
1,1.75,10.5,6.25,5871.
1,1.75,10.5,6.75,5862.
1,1.75,10.5,7.25,5906.
1,1.75,10.5,7.75,5928.
1,1.75,10.5,8.25,5931.
1,1.75,10.5,8.75,5995.
1,1.75,10.5,9.25,6114.
1,1.75,10.5,9.75,6234.
1,1.75,10.5,10.25,6345.
1,1.75,10.5,10.75,6461.
1,1.75,10.5,10.75,6461.
1,1.75,11,2.25,6659.
1,1.75,11,2.75,6624.
1,1.75,11,3.25,6685.
1,1.75,11,3.75,6263.
1,1.75,11,4.25,6249.
1,1.75,11,4.75,6140.
1,1.75,11,5.25,6143.
1,1.75,11,5.75,6029.
1,1.75,11,6.25,6074.
1,1.75,11,6.75,6022.
1,1.75,11,7.25,6041.
1,1.75,11,7.75,6106.
1,1.75,11,8.25,6146.
1,1.75,11,8.75,6189.
1,1.75,11,9.25,6258.
1,1.75,11,9.75,6345.
1,1.75,11,10.25,6439.
1,1.75,11,10.75,6526.
1,1.75,11,10.75,6526.
1,1.75,11.5,3.25,6209.
1,1.75,11.5,3.75,6122.
1,1.75,11.5,4.25,6222.
1,1.75,11.5,4.75,6292.
1,1.75,11.5,5.25,5873.
1,1.75,11.5,5.75,5807.
1,1.75,11.5,6.25,5446.
1,1.75,11.5,6.75,5379.
1,1.75,11.5,7.25,5537.
1,1.75,11.5,7.75,5655.
1,1.75,11.5,8.25,5733.
1,1.75,11.5,8.75,5789.
1,1.75,11.5,9.25,5703.
1,1.75,11.5,9.25,5703.
1,1.75,12,2.25,6161.
1,1.75,12,2.75,6199.
1,1.75,12,3.25,6135.
1,1.75,12,3.75,6218.
1,1.75,12,4.25,6347.
